INDEX,HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT,MET
53,HSA2.1.B,CALGARY - NORTH,Calgary - North,Z2,CALGARY,2020,43.7,yes
54,HSA2.1.B,CALGARY - NORTH,Calgary - North,Z2,CALGARY,All,36.5,yes
55,HSA2.1.C,CALGARY - NOSEHILL,Calgary - Nose Hill,Z2,CALGARY,2016,29.6,yes
56,HSA2.1.C,CALGARY - NOSEHILL,Calgary - Nose Hill,Z2,CALGARY,2017,32.1,yes
57,HSA2.1.C,CALGARY - NOSEHILL,Calgary - Nose Hill,Z2,CALGARY,2018,30.6,yes
58,HSA2.1.C,CALGARY - NOSEHILL,Calgary - Nose Hill,Z2,CALGARY,2019,26.5,yes
59,HSA2.1.C,CALGARY - NOSEHILL,Calgary - Nose Hill,Z2,CALGARY,2020,31.2,yes
60,HSA2.1.C,CALGARY - NOSEHILL,Calgary - Nose Hill,Z2,CALGARY,All,30,yes
61,HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2016,33.5,yes
62,HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2017,38.3,yes
63,HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2018,33.5,yes
64,HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2019,28.5,yes
65,HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2020,40.9,yes
66,HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,All,34.9,yes
67,HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2016,34,yes
68,HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2017,44.5,yes
69,HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2018,19.6,yes
70,HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2019,35.5,yes
71,HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2020,48,yes
72,HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,All,36.4,yes
73,HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2016,49.2,yes
74,HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2017,46.7,yes
75,HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2018,53,yes
76,HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2019,44.3,yes
77,HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2020,70.4,yes
78,HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,All,52.9,yes
79,HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2016,31.9,yes
80,HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2017,22.6,yes
81,HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2018,21.5,yes
82,HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2019,28.4,yes
83,HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2020,38.2,yes
84,HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,All,28.5,yes
85,HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2016,23.9,yes
86,HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2017,22.7,yes
87,HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2018,30.6,yes
88,HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2019,25.1,yes
89,HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2020,26.2,yes
90,HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,All,25.7,yes
91,HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2016,40,yes
92,HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2017,49.6,yes
93,HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2018,38.9,yes
94,HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2019,43,yes
95,HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2020,61.7,yes
96,HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,All,46.9,yes
97,HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2016,31.3,yes
98,HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2017,34.3,yes
99,HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2018,40.3,yes
100,HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2019,49.2,yes
101,HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2020,52.6,yes
102,HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,All,41.7,yes
103,HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2016,30.5,yes
104,HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2017,17.3,yes
105,HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2018,28,yes
106,HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2019,30.6,yes
107,HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2020,28.7,yes
108,HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,All,27.1,yes
109,HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2016,42,yes
110,HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2017,27.7,yes
111,HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2018,27.4,yes
112,HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2019,43.5,yes
113,HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2020,63.6,yes
