INDEX,HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT,MET
238,HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2019,36.3,yes
239,HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2020,30.7,yes
240,HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,All,32.8,yes
241,HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2016,27.5,yes
242,HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2017,19.3,yes
243,HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2018,42.3,yes
244,HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2019,44.6,yes
245,HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2020,31.2,yes
246,HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,All,33.1,yes
247,HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2016,27.4,yes
248,HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2017,32,yes
249,HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2018,29.3,yes
250,HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2019,38.7,yes
251,HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2020,32.3,yes
252,HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,All,32,yes
253,HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2016,16.2,yes
254,HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2017,23,yes
255,HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2018,17.5,yes
256,HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2019,28,yes
257,HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2020,29,yes
258,HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,All,22.8,yes
259,HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2016,25.5,yes
260,HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2017,35.1,yes
261,HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2018,36.7,yes
262,HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2019,38.3,yes
263,HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2020,39.8,yes
264,HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,All,35.2,yes
265,HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2016,24.5,yes
266,HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2017,29.7,yes
267,HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2018,35.7,yes
268,HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2019,51.6,yes
269,HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,2020,33.1,yes
270,HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,Z4,EDMONTON,All,34.9,yes
271,HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2016,28.4,yes
272,HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2017,38.3,yes
273,HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2018,32.6,yes
274,HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2019,49.9,yes
275,HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,2020,57.5,yes
276,HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,Z4,EDMONTON,All,41.3,yes
277,HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2016,55.8,yes
278,HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2017,51.6,yes
279,HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2018,83.4,yes
280,HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2019,57.1,yes
281,HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,2020,64.7,yes
282,HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,Z4,EDMONTON,All,62.6,yes
283,HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2016,0,yes
284,HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2017,0,yes
285,HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2018,26.6,yes
286,HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2019,26.6,yes
287,HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,2020,26.6,yes
288,HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,Z4,EDMONTON,All,20.7,yes
289,HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2016,34.6,yes
290,HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2017,29.1,yes
291,HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2018,23.5,yes
292,HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2019,42.5,yes
293,HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,2020,36.8,yes
294,HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,Z4,EDMONTON,All,33.4,yes
295,HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2016,34.2,yes
296,HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2017,48.2,yes
297,HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2018,26.8,yes
298,HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2019,40.1,yes
299,HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,2020,47.2,yes
300,HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,Z4,EDMONTON,All,39.5,yes
301,HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2016,0,yes
302,HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2017,43.6,yes
303,HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2018,65.8,yes
304,HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2019,0,yes
305,HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,2020,47.3,yes
306,HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,Z4,EDMONTON,All,41.9,yes
307,HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2016,0,yes
308,HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2017,54.8,yes
309,HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2018,56.7,yes
310,HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2019,46.3,yes
311,HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,2020,51.4,yes
312,HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,Z4,EDMONTON,All,48,yes
313,HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2016,39,yes
314,HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2017,43.9,yes
315,HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2018,52.7,yes
316,HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2019,56.4,yes
317,HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,2020,57.9,yes
318,HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,Z4,EDMONTON,All,50.1,yes
319,HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2016,37.7,yes
320,HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2017,27.3,yes
321,HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2018,32,yes
322,HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2019,40.4,yes
323,HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,2020,39.5,yes
324,HSA4.7,LEDUC COUNTY,Leduc County,Z4,EDMONTON,All,35.4,yes
325,HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2016,48.6,yes
326,HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2017,45.3,yes
327,HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2018,40.2,yes
328,HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2019,37.8,yes
329,HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,2020,38.9,yes
330,HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,Z4,EDMONTON,All,42.2,yes
331,HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2016,47.8,yes
332,HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2017,29.7,yes
333,HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2018,39.3,yes
334,HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2019,0,yes
335,HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,2020,38.2,yes
336,HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,Z4,EDMONTON,All,33.9,yes
337,HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2016,50.3,yes
338,HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2017,42.7,yes
339,HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2018,49.9,yes
340,HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2019,30.8,yes
341,HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,2020,43.8,yes
342,HSA4.9,ST. ALBERT,St. Albert,Z4,EDMONTON,All,43.5,yes
343,HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2016,35,no
344,HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2017,28.9,no
345,HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2018,37.2,no
346,HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2019,27.9,no
347,HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,2020,35,no
348,HSA5.1,NORTH ZONE - SW,North Zone - SW,Z5,NORTH,All,32.8,no
349,HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2016,20.2,no
350,HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2017,22.6,no
351,HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2018,18,no
352,HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2019,28.1,no
353,HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,2020,23.5,no
354,HSA5.2,NORTH ZONE - SE,North Zone - SE,Z5,NORTH,All,22.5,no
355,HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2016,22.5,no
356,HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2017,0,no
357,HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2018,0,no
358,HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2019,23.7,no
359,HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,2020,23.3,no
360,HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,Z5,NORTH,All,19.3,no
361,HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2016,13.8,no
362,HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2017,14.8,no
363,HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2018,15.8,no
364,HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2019,20.1,no
365,HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,2020,17.9,no
366,HSA5.4,NORTH ZONE - NW,North Zone - NW,Z5,NORTH,All,16.5,no
367,HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2016,0,no
368,HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2017,0,no
369,HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2018,0,no
370,HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2019,0,no
371,HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,2020,0,no
372,HSA5.5,NORTH ZONE - NE,North Zone - NE,Z5,NORTH,All,0,no
373,HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2016,36.1,no
374,HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2017,45.8,no
375,HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2018,32,no
376,HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2019,33.1,no
377,HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,2020,46.6,no
378,HSA5.6,FORT MCMURRAY,Fort McMurray,Z5,NORTH,All,38.7,no
379,HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2016,0,no
380,HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2017,28.8,no
381,HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2018,25.8,no
382,HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2019,25.6,no
383,HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,2020,29.3,no
384,HSA5.7,CITY OF GRANDE PRAIRIE,City of Grande Prairie,Z5,NORTH,All,23.9,no
