index,country,name,hosp_type,disease_type,year_rate,rate,AAPC,direction,popup,appendixF_popup
8,Canada,Canada,prim,IBD,2015,29.3,-2.38,decrease,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from the OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>), which provides rates for primary discharges spanning 2000–2015. In 2015, the hospitalization rate for IBD was 29.3/100,000, which had significantly decreased from 41.0/100,000 in 2000 (AAPC: -2.38; 95% CI: -2.55, -2.00).</p>",
8,Canada,Canada,not,IBD,2000,74.5,,,"<p style=""""font-size: 125%""""><a href='https://pubmed.ncbi.nlm.nih.gov/15346726/' target='_blank'>Nabalamba 2004</a> reports an undefined IBD hospitalization rate of 74.5/100,000 in 2000.</p>",
8,Canada,Canada,not,CD,2001,27.5,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for CD; however, the undefined hospitalization rate was estimated at 27.6/100,000 in 2000 and 27.5/100,000 in 2001 (<a href='https://pubmed.ncbi.nlm.nih.gov/15346726/' target='_blank'>Nabalamba 2004</a>).</p>",
8,Canada,Canada,not,UC,2001,12.8,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for UC; however, the undefined hospitalization rate was estimated at 13.0/100,000 in 2000 and 12.8/100,000 in 2001 (<a href='https://pubmed.ncbi.nlm.nih.gov/15346726/' target='_blank'>Nabalamba 2004</a>).</p>",
9,Canada,Calgary,all,UC,2009,5.72,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for UC; however, the average secondary discharge rate was estimated at 5.72/100,000 between 1997 and 2009 (<a href='https://journals.lww.com/ajg/Abstract/2012/12000/Decreasing_Colectomy_Rates_for_Ulcerative_Colitis_.20.aspx' target='_blank'>Kaplan 2012</a>).</p>",
10,Canada,Alberta,prim,IBD,2018,21.81,-3.01,decrease,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from Buie 2022 (Temporal Trends in IBD Hospitalization rates from 2002 to 2018 in Alberta, Canada: A Population-Based Cohort Study.) which provides rates for primary and all cause discharges between 2002–2018. In 2018, the primary hospitalization rate for IBD in Alberta was 21.81/100,000, which was significantly lower than 38.18/100,000 in 2002 (AAPC: -3.01; 95% CI: -3.38, -2.64). This is an extension of the data found in <a href='https://prism.ucalgary.ca/handle/1880/110486' target='_blank'>Coward 2019</a> which provides results from 2002–2015. In 2015, the primary hospitalization rate for IBD was 22.59/100,000, which had significantly decreased from 40.31/100,000 in 2002 (AAPC: -3.40; 95% CI: -3.98, -2.81).</p>","<p style=""font-size: 125%"">Data on IBD hospitalizations come from Buie 2022 (Temporal Trends in IBD Hospitalization rates from 2002 to 2018 in Alberta, Canada: A Population-Based Cohort Study) which provides rates for primary and all cause discharges between 2002�2018. In 2018, the primary hospitalization rate for IBD in Alberta was 4.02/100 IBD patients, which was significantly lower than 13.09/100 IBD patients in 2002 (AAPC: -6.65; 95% CI: -7.48, -5.82). In 2018, the all cause hospitalization rate for IBD was 16.72/100 IBD patients which had also decreased significantly from 36.57/100 IBD patients in 2002 (AAPC: -4.18; 95% CI: -4.69, -3.66) (Buie 2022).<br><br>

Data on CD hospitalizations come from Buie 2022,  which provides rates for primary and all cause discharges between 2002�2018. In 2018, the primary hospitalization rate for CD in Alberta was 4.60/100 CD patients, which was significantly lower than 14.54/100 CD patients in 2002 (AAPC: -6.54; 95% CI: -7.33, -5.75). In 2018, the all cause hospitalization rate for CD was 18.41/100 CD patients which had decreased significantly from 40.44/100 CD patients in 2002 (AAPC: -4.06; 95% CI: -4.56, -3.55) (Buie 2022).<br><br>

Data on UC hospitalizations come from Buie 2022,  which provides rates for primary and all cause discharges between 2002�2018. In 2018, the primary hospitalization rate for UC in Alberta was 4.49/100UC patients, which was also significantly lower than 12.68/100 UC patients in 2002 (AAPC: -5.71; 95% CI: -6.91, -4.50). In 2018, the all cause hospitalization rate for UC was 15.56/100 UC patients which was significantly lower than 30.83/100 UC patients in 2002 (AAPC: -3.66; 95% CI: -4.38, -2.93) (Buie 2022).</p>"
10,Canada,Alberta,prim,CD,2018,12.46,-4.12,decrease,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from Buie 2022 (Temporal Trends in IBD Hospitalization rates from 2002 to 2018 in Alberta, Canada: A Population-Based Cohort Study.) which provides rates for primary and all cause discharges between 2002–2018. In 2018, the primary hospitalization rate for CD in Alberta was 12.46/100,000, which was significantly lower than 26.09/100,000 in 2002 (AAPC: -4.12; 95% CI: -4.48, -3.76). Additionally, <a href='https://prism.ucalgary.ca/handle/1880/110486' target='_blank'>Coward 2019</a> reports  rates spanning 2002–2015. In 2015, the hospitalization rate for primary CD discharges was 12.99/100,000, which had significantly decreased from 28.20/100,000 in 2002 (AAPC: -4.62; 95% CI: -5.21, -4.03).</p>",
10,Canada,Alberta,prim,UC,2018,8.87,-0.73,stable,"<p style=""""font-size: 125%"""">Data on UC hospitalizations come from Buie 2022 (Temporal Trends in IBD Hospitalization rates from 2002 to 2018 in Alberta, Canada: A Population-Based Cohort Study.) which provides rates for primary and all cause discharges between 2002–2018. In 2018, the primary hospitalization rate for UC in Alberta was 8.87/100,000, which was not significantly lower than 11.04/100,000 in 2002 (AAPC: -0.73; 95% CI: -1.48, -0.02). Additionally, <a href='https://prism.ucalgary.ca/handle/1880/110486' target='_blank'>Coward 2019</a> reports  rates spanning 2002–2015. In 2015, the hospitalization rate for primary UC discharges was 8.96/100,000, which had not significantly decreased from 11.12/100,000 in 2002 (AAPC: -0.74; 95% CI: -1.81, 0.34).</p>",
10,Canada,Alberta,all,IBD,2018,142.18,1.56,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from Buie 2022 (Temporal Trends in IBD Hospitalization rates from 2002 to 2018 in Alberta, Canada: A Population-Based Cohort Study.) which provides rates for primary and all cause discharges between 2002–2018. In 2018, the all cause hospitalization rate for IBD was 142.18/100,000 which significantly increased  from 110.65/100,000 in 2002 (AAPC: 1.56; 95% CI: 1.32, 1.80) (Buie 2022). Additionally, in 2015, the secondary hospitalization rate for IBD in Alberta was 57.89/100,000, which had significantly decreased from 83.88/100,000 in 2002 (AAPC: -1.98; 95% CI: -2.42, -1.49) (<a href='https://prism.ucalgary.ca/handle/1880/110486' target='_blank'>Coward 2019</a>).</p>",
10,Canada,Alberta,all,CD,2018,73.11,0.42,increase,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from Buie 2022 (Temporal Trends in IBD Hospitalization rates from 2002 to 2018 in Alberta, Canada: A Population-Based Cohort Study.) which provides rates for primary and all cause discharges between 2002–2018. In 2018, the all cause hospitalization rate for CD was 73.11/100,000 which significantly increased from 72.18/100,000 in 2002 (AAPC: 0.42; 95% CI: 0.11, 0.72) (Buie 2022). Additionally, in 2015, the hospitalization rate for secondary CD discharges was 38.94/100,000, which had significantly decreased from 60.29/100,000 in 2002 (AAPC: -2.32; 95% CI: -2.84, -1.79) (<a href='https://prism.ucalgary.ca/handle/1880/110486' target='_blank'>Coward 2019</a>).</p>",
