ZONE_CODE,ZONE_NAME,FY,AGE_CAT,GENDER,INC_RT
Z5,NORTH,2016,65 and over,All,0.0
Z5,NORTH,2017,0 to 18,All,34.3
Z5,NORTH,2017,18 to 64,All,24.7
Z5,NORTH,2017,65 and over,All,0.0
Z5,NORTH,2018,0 to 18,All,30.1
Z5,NORTH,2018,18 to 64,All,25.7
Z5,NORTH,2018,65 and over,All,0.0
Z5,NORTH,2019,0 to 18,All,30.9
Z5,NORTH,2019,18 to 64,All,25.9
Z5,NORTH,2019,65 and over,All,0.0
Z5,NORTH,2020,0 to 18,All,49.7
Z5,NORTH,2020,18 to 64,All,24.0
Z5,NORTH,2020,65 and over,All,0.0
Z1,SOUTH,2016,All,F,30.7
Z1,SOUTH,2016,All,M,14.5
Z1,SOUTH,2017,All,F,43.6
Z1,SOUTH,2017,All,M,19.6
Z1,SOUTH,2018,All,F,47.2
Z1,SOUTH,2018,All,M,24.7
Z1,SOUTH,2019,All,F,54.1
Z1,SOUTH,2019,All,M,25.2
Z1,SOUTH,2020,All,F,47.8
Z1,SOUTH,2020,All,M,27.6
Z2,CALGARY,2016,All,F,44.2
Z2,CALGARY,2016,All,M,26.3
Z2,CALGARY,2017,All,F,47.3
Z2,CALGARY,2017,All,M,24.6
Z2,CALGARY,2018,All,F,38.3
Z2,CALGARY,2018,All,M,29.0
Z2,CALGARY,2019,All,F,52.0
Z2,CALGARY,2019,All,M,26.3
Z2,CALGARY,2020,All,F,58.3
Z2,CALGARY,2020,All,M,33.0
Z3,CENTRAL,2016,All,F,38.3
Z3,CENTRAL,2016,All,M,22.8
Z3,CENTRAL,2017,All,F,32.3
Z3,CENTRAL,2017,All,M,20.4
Z3,CENTRAL,2018,All,F,37.1
Z3,CENTRAL,2018,All,M,21.1
Z3,CENTRAL,2019,All,F,39.4
Z3,CENTRAL,2019,All,M,16.5
Z3,CENTRAL,2020,All,F,41.7
Z3,CENTRAL,2020,All,M,30.7
Z4,EDMONTON,2016,All,F,42.8
Z4,EDMONTON,2016,All,M,22.4
Z4,EDMONTON,2017,All,F,43.9
Z4,EDMONTON,2017,All,M,25.9
Z4,EDMONTON,2018,All,F,50.6
Z4,EDMONTON,2018,All,M,23.8
Z4,EDMONTON,2019,All,F,50.6
Z4,EDMONTON,2019,All,M,28.2
Z4,EDMONTON,2020,All,F,50.4
Z4,EDMONTON,2020,All,M,29.1
Z5,NORTH,2016,All,F,29.0
Z5,NORTH,2016,All,M,17.5
Z5,NORTH,2017,All,F,36.5
Z5,NORTH,2017,All,M,16.0
Z5,NORTH,2018,All,F,35.5
Z5,NORTH,2018,All,M,16.0
Z5,NORTH,2019,All,F,37.9
Z5,NORTH,2019,All,M,15.5
Z5,NORTH,2020,All,F,38.1
Z5,NORTH,2020,All,M,20.9
Z1,SOUTH,All,0 to 18,F,65.2
Z1,SOUTH,All,0 to 18,M,34.1
Z1,SOUTH,All,18 to 64,F,47.4
Z1,SOUTH,All,18 to 64,M,21.0
Z1,SOUTH,All,65 and over,F,8.4
Z1,SOUTH,All,65 and over,M,9.1
Z2,CALGARY,All,0 to 18,F,62.5
Z2,CALGARY,All,0 to 18,M,36.2
Z2,CALGARY,All,18 to 64,F,48.7
Z2,CALGARY,All,18 to 64,M,27.2
Z2,CALGARY,All,65 and over,F,22.3
Z2,CALGARY,All,65 and over,M,15.5
Z3,CENTRAL,All,0 to 18,F,52.7
Z3,CENTRAL,All,0 to 18,M,25.5
Z3,CENTRAL,All,18 to 64,F,37.6
Z3,CENTRAL,All,18 to 64,M,22.3
Z3,CENTRAL,All,65 and over,F,19.2
Z3,CENTRAL,All,65 and over,M,17.4
Z4,EDMONTON,All,0 to 18,F,64.3
Z4,EDMONTON,All,0 to 18,M,37.4
Z4,EDMONTON,All,18 to 64,F,48.1
Z4,EDMONTON,All,18 to 64,M,23.6
Z4,EDMONTON,All,65 and over,F,21.4
Z4,EDMONTON,All,65 and over,M,18.1
Z5,NORTH,All,0 to 18,F,46.5
Z5,NORTH,All,0 to 18,M,24.8
Z5,NORTH,All,18 to 64,F,33.8
Z5,NORTH,All,18 to 64,M,15.8
Z5,NORTH,All,65 and over,F,19.9
Z5,NORTH,All,65 and over,M,8.1
Z1,SOUTH,2016,0 to 18,F,41.0
Z1,SOUTH,2016,0 to 18,M,0.0
Z1,SOUTH,2016,18 to 64,F,33.9
Z1,SOUTH,2016,18 to 64,M,12.6
